phone_number,email,credit_score,age_group,family_background,income,occupation,previous_interaction,comments,intent
(347)161-0799,martinezmolly@stewart-evans.net,726,26-35,Married,557321,Engineer,Yes,follow up later,0
825.215.1342x552,wongamber@austin.com,726,18-25,Married,128963,Student,Yes,please call back,0
885.744.4346x35995,rebecca95@gmail.com,648,18-25,Married,248927,Artist,No,,1
078-792-2447x997,kevans@russo.net,677,18-25,Single,310168,Engineer,No,not interested,0
(415)646-1045x170,bmendez@gmail.com,671,51+,Married,591608,Engineer,Yes,,1
415.483.4497x4557,potterdavid@green.org,811,36-50,Single,608138,Student,No,please call back,1
2392434707,ohicks@shelton-knight.com,349,51+,Married with Kids,568053,Business,No,follow up later,1
301.946.8243,mknight@yahoo.com,368,36-50,Single,101821,Student,No,urgent,1
449.618.1241,ssmith@hotmail.com,408,51+,Married with Kids,206641,Business,Yes,please call back,1
824-574-0192x65788,simstimothy@jackson-keller.com,762,51+,Married,823670,Student,Yes,,1
4021562629,bgreen@gmail.com,513,26-35,Single,284321,Business,Yes,not interested,0
1815382599,lindsaydonaldson@phillips.com,829,26-35,Married,638313,Artist,No,follow up later,1
(628)949-2511x98335,mccoychristina@yahoo.com,532,51+,Married,134617,Doctor,Yes,please call back,0
+1-816-986-1857x93493,robertschwartz@anderson-dixon.com,814,51+,Married with Kids,809600,Artist,No,follow up later,1
001-312-815-9260x010,kevin38@padilla.com,670,51+,Married with Kids,145391,Student,Yes,follow up later,0
+1-004-231-4946x89831,yanderson@gmail.com,847,26-35,Married,498697,Artist,Yes,please call back,1
(986)141-5955,matthewsdiane@moore-king.com,414,51+,Single,244988,Artist,No,follow up later,1
4646307371,ethan21@gmail.com,405,51+,Single,589971,Engineer,Yes,urgent,1
(097)355-2363,gardnerjacqueline@yahoo.com,471,36-50,Married with Kids,684582,Engineer,Yes,,0
282-991-3365x5634,juarezwilliam@chen.com,301,36-50,Married,244801,Artist,No,follow up later,0
966-891-0457x0944,vkelly@yahoo.com,461,18-25,Married with Kids,207005,Artist,Yes,urgent,1
(380)011-8467x561,dominic74@hotmail.com,800,51+,Single,310531,Student,Yes,urgent,1
554-625-1074,chungsean@schmidt.biz,441,51+,Single,104177,Student,No,follow up later,0
578.553.3961x452,coreymatthews@gmail.com,693,36-50,Married with Kids,533751,Business,No,,0
(214)296-9651x37146,tbriggs@lynch.com,420,26-35,Married,678389,Artist,No,urgent,1
+1-162-542-5634x47098,stephanie32@yahoo.com,771,26-35,Married,675541,Artist,No,,1
(231)054-5592,acrawford@guerra-rogers.com,713,36-50,Married with Kids,713218,Business,No,not interested,1
807-127-3071,duncangregory@banks.com,584,51+,Single,887457,Student,No,follow up later,1
001-685-754-8374x1036,johncox@castro.net,666,36-50,Married with Kids,818716,Business,No,urgent,1
990-337-5206x074,simpsonstephen@gmail.com,431,18-25,Single,732018,Doctor,No,please call back,1
668.059.5463,olsonalicia@morales.com,388,26-35,Single,244593,Engineer,No,not interested,0
595.007.8652,dgray@hotmail.com,768,51+,Married with Kids,407826,Business,Yes,follow up later,1
747.145.6740x003,lwilliams@hotmail.com,709,51+,Single,268317,Engineer,No,follow up later,1
(119)232-7418,jenningsapril@hughes.com,470,36-50,Married with Kids,332009,Artist,No,,0
5343986597,ydunlap@bridges-rangel.net,576,26-35,Married,609820,Business,Yes,,1
(935)173-8348,melindamoore@yahoo.com,384,36-50,Married with Kids,300097,Student,Yes,not interested,0
001-794-316-5024x63127,hstrickland@graham.com,419,51+,Married,756371,Student,No,urgent,1
001.567.7773x57425,jonathan98@gmail.com,320,18-25,Married,244704,Student,No,not interested,0
777-025-4107x78284,patriciasharp@yahoo.com,435,26-35,Married with Kids,750319,Doctor,Yes,urgent,1
788-799-2677x0644,garrettsmith@aguilar.com,327,51+,Single,766549,Artist,No,follow up later,1
001-818-189-1223,krystal91@hotmail.com,588,18-25,Married with Kids,555920,Business,Yes,not interested,0
090-977-9398x3184,zhaynes@yahoo.com,458,36-50,Married,775628,Business,No,follow up later,1
143-815-2311,youngdouglas@hotmail.com,377,26-35,Single,755978,Engineer,Yes,follow up later,1
001-190-352-6435x27047,dunnkaren@duncan-dean.com,820,26-35,Single,322437,Engineer,Yes,not interested,1
001-344-330-2736x089,qjenkins@shaw-crawford.com,783,26-35,Single,398518,Business,No,urgent,1
424-453-9711x96233,daviddavis@hotmail.com,464,26-35,Married with Kids,548636,Student,No,not interested,0
291-023-6127x89644,goodmanamanda@gmail.com,552,26-35,Single,579137,Doctor,No,please call back,1
233.069.0646x109,katherine59@yahoo.com,504,36-50,Married with Kids,250204,Doctor,No,not interested,0
+1-274-398-8670x2199,coxdavid@wilson.com,476,18-25,Single,986986,Engineer,Yes,follow up later,1
001-344-909-9373x2407,jayrivera@brown.net,776,51+,Married,307822,Student,No,,1
526-392-9619x186,ablack@martin-lin.org,660,18-25,Married with Kids,621622,Doctor,Yes,please call back,0
3535698257,aliciabrooks@lara.net,369,51+,Married,208788,Engineer,No,not interested,0
(548)056-6219,michaela25@gmail.com,499,18-25,Married,454502,Doctor,Yes,,1
(749)604-7607x912,pjones@hotmail.com,375,51+,Single,296557,Doctor,No,not interested,0
001-474-404-9197,dmyers@burns.org,652,18-25,Married with Kids,253955,Engineer,Yes,follow up later,1
(390)270-3448x6306,mosesdonald@yahoo.com,440,26-35,Married with Kids,195386,Artist,Yes,follow up later,0
209-751-4334x33215,sanchezlaura@gmail.com,312,36-50,Married with Kids,684438,Artist,No,follow up later,0
001-796-789-0332x9795,tinadrake@gmail.com,494,36-50,Married with Kids,596785,Engineer,No,urgent,1
(465)302-0234x1093,carolyn87@gmail.com,317,51+,Married with Kids,330907,Engineer,No,not interested,0
001-055-371-0427x270,angela46@hoffman.com,654,18-25,Married with Kids,191541,Student,No,please call back,0
001-531-819-3048x788,arivera@hotmail.com,641,36-50,Married,723774,Business,Yes,follow up later,1
399-605-5257x989,riosdaniel@gibson.info,730,18-25,Married with Kids,221281,Doctor,Yes,urgent,1
(215)839-3369,kathy99@gmail.com,419,36-50,Married with Kids,673853,Doctor,Yes,not interested,0
335-808-1492,warrenangela@yahoo.com,432,18-25,Married with Kids,573756,Artist,No,not interested,0
352-870-3857x84705,gregorysmith@johnson.biz,718,26-35,Single,648314,Student,Yes,please call back,0
122-350-0394x2719,farmerstacy@brady-johnson.org,361,51+,Married,615643,Business,Yes,urgent,1
751-523-2867x519,willisjack@dudley-crane.org,523,36-50,Married with Kids,424236,Doctor,Yes,follow up later,0
645.897.7709x746,nhall@lawson.com,338,36-50,Married,170350,Student,Yes,urgent,1
792-545-5608,glynch@gmail.com,843,18-25,Married with Kids,142172,Doctor,Yes,please call back,1
+1-536-773-8279x9610,hthomas@gmail.com,394,51+,Single,826633,Artist,Yes,urgent,1
(197)394-0840,imayo@rocha.org,570,26-35,Married,483988,Artist,No,urgent,1
114.002.1904x9425,esmith@hotmail.com,536,26-35,Married,498808,Artist,Yes,urgent,1
+1-889-013-0180x06251,klopez@kaufman.com,518,51+,Married with Kids,895691,Engineer,Yes,follow up later,1
562.841.9251,jennifer66@harris-wang.com,577,26-35,Married with Kids,720262,Student,No,,1
860.965.8253,smallanna@gmail.com,521,51+,Married,701954,Artist,Yes,follow up later,1
265-650-0742,courtneysanders@gmail.com,712,26-35,Married with Kids,358011,Engineer,Yes,please call back,0
(491)598-5545x0852,petersonkristina@yahoo.com,769,36-50,Single,849906,Business,Yes,not interested,1
0831106068,christineaustin@barnes.com,341,18-25,Single,345487,Business,No,not interested,0
136.543.9740,melissa78@sullivan-alexander.com,502,51+,Married,101487,Artist,No,,0
959-453-1864,melissa79@hotmail.com,621,26-35,Married,176294,Student,No,not interested,0
504-542-1450x82820,kevinbowman@hutchinson.com,351,51+,Single,963642,Student,Yes,urgent,1
001-942-558-5185x75893,joel26@yahoo.com,398,18-25,Married,392175,Student,Yes,urgent,1
+1-941-049-1809,montgomeryapril@gmail.com,595,51+,Single,524875,Doctor,Yes,,1
409.250.8357,tcummings@gmail.com,574,36-50,Single,832886,Student,No,,1
+1-306-432-1341,christine29@gmail.com,591,36-50,Married,561473,Doctor,Yes,follow up later,0
(073)990-8254x156,georgeann@combs.info,779,18-25,Single,376754,Artist,No,please call back,1
(208)274-6399,elowe@neal-farley.com,761,18-25,Married with Kids,255077,Engineer,Yes,not interested,1
191-454-1115x453,thomasmendoza@gmail.com,388,36-50,Married with Kids,543990,Business,Yes,not interested,0
272.076.7902,mikayla57@sullivan.org,776,18-25,Single,444738,Doctor,No,urgent,1
289-373-3321,ychen@king.info,718,26-35,Married,408857,Student,No,follow up later,0
493.724.4063x00571,whitechristian@monroe.biz,442,26-35,Single,965737,Doctor,Yes,,1
836-908-4799x715,holmesleslie@hotmail.com,468,18-25,Single,207068,Engineer,No,not interested,0
3691697395,vscott@bright.org,666,36-50,Single,925911,Student,Yes,not interested,1
001-290-405-4254x57885,derrick79@yahoo.com,514,18-25,Married with Kids,225402,Artist,No,not interested,0
462-302-4456x86654,riverakelsey@beasley-hansen.org,332,26-35,Married,546855,Engineer,No,not interested,0
001-683-402-6535x96084,alexander80@yahoo.com,699,18-25,Married,388826,Student,No,,1
(554)475-1591x264,alejandro38@hotmail.com,379,18-25,Married,909679,Artist,Yes,not interested,1
(459)663-0004,williamseric@yahoo.com,807,18-25,Married,947452,Business,Yes,not interested,1
+1-000-166-3622x391,coxkari@wright-tran.info,611,26-35,Single,793154,Student,Yes,urgent,1
+1-836-650-2819,gcruz@yahoo.com,648,51+,Married with Kids,641684,Artist,No,follow up later,0
963.839.1122x446,lindseyholloway@hotmail.com,447,18-25,Single,226264,Artist,Yes,,1
582-683-1350,terrellkaren@hotmail.com,693,26-35,Single,184696,Engineer,No,please call back,0
973-085-9964x194,jeffreyfrancis@randall.biz,809,51+,Married,113174,Artist,No,urgent,1
(387)431-6632x963,garciaanne@yahoo.com,438,26-35,Married,361642,Student,No,,1
356-802-8112,grantbrooke@gmail.com,583,18-25,Married with Kids,218901,Doctor,No,not interested,0
(923)468-5184x9465,yangryan@king-francis.biz,331,18-25,Single,765711,Student,No,not interested,1
(711)390-2444x88755,laura78@mcneil-wright.com,386,51+,Single,714392,Artist,Yes,urgent,1
(122)180-5367x7785,sellersandrew@yahoo.com,377,51+,Married with Kids,847004,Artist,No,follow up later,1
399.168.7468,wendymclean@carter.info,513,18-25,Married with Kids,321021,Doctor,Yes,please call back,1
1699333449,leslie83@gutierrez-price.org,596,18-25,Married,898257,Artist,Yes,urgent,1
228.105.9661x04020,xmcclain@gmail.com,459,26-35,Single,715893,Doctor,Yes,follow up later,1
(093)561-0266x0868,kristina64@forbes.biz,307,26-35,Married,766360,Business,Yes,,1
2978033806,stewartshawn@carter.com,575,18-25,Single,222378,Engineer,Yes,please call back,0
001-344-441-0427x7900,boylenancy@ramirez.com,795,18-25,Married with Kids,241652,Engineer,No,,1
179.856.6143x664,terri44@gmail.com,844,26-35,Single,471525,Business,No,follow up later,1
916-732-1140x603,xwilliams@herrera.com,492,36-50,Married with Kids,120934,Doctor,Yes,urgent,1
+1-518-607-9566x1518,annette46@hotmail.com,461,51+,Single,305517,Business,No,please call back,1
(426)445-4941,susan44@moore.info,351,51+,Single,704707,Business,No,,1
001-782-858-0792x84717,mitchelljesus@thompson.com,667,36-50,Single,662706,Artist,Yes,please call back,1
(514)109-1603,rogerstone@hotmail.com,761,36-50,Married,896338,Artist,No,follow up later,1
(696)200-0169x84286,vanessa33@yahoo.com,322,36-50,Married,200444,Business,No,please call back,1
373.175.1371x379,zfarrell@johnson-johnson.com,324,18-25,Single,819496,Student,Yes,not interested,1
8125318564,elijah83@hotmail.com,577,51+,Single,301060,Engineer,No,urgent,1
001-419-296-4367x21144,shamilton@brennan.com,620,51+,Married,582477,Student,Yes,not interested,0
(735)254-1813,michael48@sexton.com,681,36-50,Married with Kids,347087,Engineer,No,not interested,0
630-573-4273,taylorgerald@hernandez-wilkinson.com,313,26-35,Single,802735,Business,Yes,please call back,1
+1-084-089-9434x585,atkinsonjoel@yahoo.com,427,51+,Married with Kids,548326,Doctor,Yes,not interested,0
(431)350-1998x5179,fcasey@gmail.com,422,51+,Married with Kids,543063,Artist,Yes,not interested,0
+1-575-269-5443x2788,robertsjohn@yahoo.com,615,36-50,Single,661597,Business,No,follow up later,0
363.153.9868x3186,lance80@miller-may.org,515,51+,Single,232950,Business,Yes,follow up later,1
(923)745-8694,mullinschristina@gmail.com,798,26-35,Single,728064,Engineer,No,follow up later,1
240.166.5593,stricklandjenna@gmail.com,617,36-50,Single,384844,Engineer,Yes,urgent,1
(125)196-4448x9003,brewerheather@yahoo.com,816,51+,Married with Kids,370550,Engineer,No,not interested,1
+1-991-034-7501,bryanryan@lindsey.net,376,51+,Married,759530,Engineer,Yes,please call back,1
(632)125-6420x86343,dianahamilton@hernandez.com,516,26-35,Single,194107,Artist,Yes,not interested,0
147.276.5246,ijohnston@brewer.net,635,36-50,Single,699299,Doctor,No,please call back,0
+1-641-213-3752x371,cbarr@hotmail.com,723,51+,Married,996981,Engineer,Yes,follow up later,1
(433)716-9852x8962,briannamyers@buchanan-spears.com,742,51+,Married,153902,Business,Yes,urgent,1
2737681889,baileyjames@hotmail.com,768,36-50,Single,974842,Engineer,No,not interested,1
852.026.3063x0155,johnny76@gmail.com,417,51+,Married,559778,Engineer,Yes,,1
001-964-779-9692x17642,cford@peterson.net,683,18-25,Single,614028,Doctor,No,not interested,0
307-235-6199x747,johnsalazar@cox-medina.org,649,51+,Single,827164,Artist,Yes,not interested,1
618.668.3187,leslie39@yahoo.com,794,51+,Single,399617,Artist,Yes,follow up later,1
017.711.6517x1026,danielsmelanie@barnes.org,488,51+,Married,595116,Engineer,Yes,,1
(855)916-5823x8377,oliviamoore@hotmail.com,437,36-50,Single,507038,Student,No,,1
+1-104-491-2672x67446,michaelhensley@torres.com,805,18-25,Married with Kids,843694,Student,Yes,not interested,1
(756)893-8899x8218,hayessara@yahoo.com,842,26-35,Married with Kids,720433,Engineer,Yes,,1
001-783-137-6893x755,xmcgee@russell-anderson.biz,699,51+,Single,849353,Student,Yes,please call back,1
001-102-366-1810x719,paulcourtney@yahoo.com,741,26-35,Single,193063,Engineer,Yes,urgent,1
001-072-846-9012,joseph41@randolph.info,521,26-35,Married with Kids,126612,Doctor,No,urgent,1
729-503-4579x7460,susan83@stewart.com,809,36-50,Single,450304,Engineer,Yes,please call back,1
001-705-477-8902x24641,emily55@gmail.com,564,26-35,Single,125887,Business,No,not interested,0
001-876-942-1588x606,hsanchez@trevino-adams.org,588,51+,Single,280942,Doctor,No,urgent,1
573.662.4412x509,zblankenship@yahoo.com,508,26-35,Single,946276,Student,No,urgent,1
+1-930-344-9491x967,qjenkins@gmail.com,817,51+,Single,157193,Doctor,Yes,not interested,1
(763)795-1947x100,paul12@flores.com,391,51+,Married with Kids,401421,Artist,No,urgent,1
213.503.6931,chaseguerrero@murphy-baker.com,310,36-50,Single,606434,Engineer,Yes,not interested,0
+1-766-877-9761,uwashington@hotmail.com,443,18-25,Single,674142,Engineer,Yes,,0
+1-627-541-9556x2324,bevans@gmail.com,351,36-50,Married with Kids,144130,Student,Yes,,0
(456)259-4642,adriennerios@smith.net,734,26-35,Single,490462,Student,Yes,not interested,0
189-803-4935x795,hornekevin@gmail.com,347,26-35,Married,639890,Doctor,No,follow up later,0
024.883.9741x0416,juaneverett@yahoo.com,473,26-35,Married with Kids,386315,Doctor,No,please call back,1
159.492.3494x92407,shannonmoyer@gmail.com,753,26-35,Single,410256,Artist,Yes,not interested,1
+1-846-816-9991x80412,zfoster@hotmail.com,577,26-35,Single,742015,Engineer,No,urgent,1
+1-613-092-0124x01018,thomaswallace@little.com,336,18-25,Married with Kids,932246,Engineer,No,,1
647-689-3638x493,martinsmith@gmail.com,412,18-25,Married with Kids,522327,Artist,Yes,,1
(585)900-9725x460,ronaldgardner@herrera-weaver.com,517,26-35,Married with Kids,403855,Doctor,No,follow up later,1
274-925-7385x60739,aortiz@haney.biz,430,18-25,Single,266226,Business,No,please call back,1
001-212-592-2083x0186,kathleenwalker@yahoo.com,646,18-25,Married with Kids,774743,Artist,Yes,please call back,1
(436)310-0338x302,brownjillian@smith.net,436,26-35,Married,637463,Artist,No,please call back,1
320.472.2210,timothy37@lewis.biz,784,51+,Married with Kids,937217,Student,Yes,urgent,1
+1-293-434-6118x504,jimmy76@spencer.com,764,26-35,Married with Kids,339989,Engineer,Yes,urgent,1
+1-569-481-9440x7765,dhaley@gmail.com,585,51+,Married,309513,Artist,Yes,,1
268.170.3007x56269,lisawilliams@powell-white.info,361,26-35,Married,817950,Engineer,No,follow up later,1
275.044.4180x6038,suarezjoshua@yahoo.com,445,26-35,Married,336341,Doctor,No,urgent,1
+1-732-798-9238x458,amy42@young.com,442,51+,Married,283710,Student,No,not interested,0
297-671-3231x3954,williamsamy@yahoo.com,796,36-50,Married,544154,Artist,No,urgent,1
704.626.9063,smartin@white.com,812,26-35,Single,603362,Engineer,Yes,,1
001-224-421-1063x9179,ounderwood@hotmail.com,709,36-50,Married with Kids,204340,Student,No,follow up later,1
216.071.9039x7483,james28@yahoo.com,711,51+,Married with Kids,852505,Doctor,No,,1
(779)374-0747,brooksemily@larsen.com,428,51+,Married,264157,Student,Yes,please call back,0
343.798.4482,christina58@phillips.info,387,26-35,Married with Kids,849047,Doctor,No,follow up later,1
913-623-6007x7976,gowen@willis.com,732,51+,Single,561643,Student,No,please call back,1
001-315-168-6177x179,cmedina@gmail.com,474,51+,Married with Kids,672412,Engineer,No,not interested,0
+1-767-801-0428,kimstewart@yahoo.com,452,18-25,Married with Kids,634518,Doctor,No,,0
973.383.2540,kathleen41@hotmail.com,525,26-35,Single,192115,Doctor,No,urgent,1
001-744-979-4918x11520,joel90@stewart-hendrix.info,454,36-50,Married,778118,Student,No,not interested,1
505.264.4139x546,jwilkins@yahoo.com,505,51+,Single,697790,Business,Yes,follow up later,1
(628)596-7246x1953,williamspaul@gmail.com,366,26-35,Married with Kids,648710,Student,No,not interested,0
001-932-049-4960x0033,thompsontroy@austin.com,415,18-25,Single,785900,Engineer,No,urgent,1
581-481-6921,katherinecole@yahoo.com,469,51+,Married with Kids,645128,Student,No,,0
664.474.0735x170,samuelsmall@fox.biz,353,26-35,Single,502362,Student,No,,0
633.932.4053x67374,steven53@preston-taylor.com,807,26-35,Married with Kids,332793,Artist,Yes,not interested,1
001-473-127-8121,martinezryan@tucker.com,616,36-50,Married,607771,Doctor,No,,1
185-730-1579x28226,sarah32@edwards.com,527,36-50,Single,911213,Doctor,No,,1
+1-917-336-6763x45759,kennedypeter@skinner.com,488,36-50,Married with Kids,308212,Artist,No,please call back,1
509.791.5967x0396,dwalter@hotmail.com,442,18-25,Single,216069,Engineer,No,urgent,1
001-684-947-5009x349,amy23@wilson.info,719,51+,Married with Kids,661696,Doctor,No,please call back,0
(199)216-0294x365,dennis83@sanchez-davis.com,844,51+,Married,743238,Student,Yes,follow up later,1
(103)039-5189x467,whitedarrell@day-dominguez.com,401,36-50,Single,265638,Student,Yes,follow up later,0
6881945242,zrichmond@vasquez.com,624,18-25,Single,937180,Artist,No,not interested,1
(409)356-5418x530,keith13@yahoo.com,733,51+,Single,880770,Engineer,No,not interested,1
(853)974-0774x9920,beckydavis@gmail.com,665,18-25,Married with Kids,596836,Student,No,,0
(281)870-0243x935,adam12@vasquez-evans.biz,345,51+,Married,583709,Artist,No,follow up later,1
733-921-7280x5859,jenna25@rojas.com,790,36-50,Single,519013,Business,No,,1
910.866.8018x66822,amber33@gmail.com,592,51+,Married,304147,Engineer,No,follow up later,1
(675)272-3678x0712,ryanyoung@rodgers.org,847,36-50,Married with Kids,267586,Business,Yes,,1
155-879-1966x491,douglasprice@frazier.com,830,26-35,Married with Kids,391835,Engineer,Yes,not interested,1
(393)835-3238x1980,michael39@gmail.com,440,36-50,Single,361925,Doctor,No,,1
+1-668-125-0281x38760,susan06@hotmail.com,364,51+,Single,196060,Engineer,No,,0
001-177-393-3550x882,kevin94@rodriguez.com,367,18-25,Married,619109,Doctor,Yes,follow up later,0
030-142-3016x2229,ibarranicholas@ho.biz,464,18-25,Single,592901,Doctor,No,,1
(122)583-5252,atorres@hotmail.com,663,26-35,Married with Kids,139224,Engineer,Yes,follow up later,0
969-134-1786x329,sextonmichael@hotmail.com,551,51+,Married,708104,Doctor,Yes,follow up later,1
826-580-6406x0761,bsexton@hotmail.com,398,51+,Married,332077,Doctor,No,follow up later,0
242.698.4331x99916,hawkinskelsey@hughes-moore.net,722,36-50,Married,149274,Business,No,follow up later,0
001-950-081-2287x834,rsmith@yahoo.com,438,51+,Single,451080,Doctor,Yes,please call back,1
0027956578,mcrawford@cunningham.com,745,51+,Married,330395,Doctor,Yes,,1
001-986-113-2087x779,lanedawn@yahoo.com,511,18-25,Married with Kids,106721,Artist,Yes,,0
438-027-8874,samuel32@wyatt-mills.biz,603,51+,Married with Kids,669713,Engineer,No,not interested,0
619.203.6134x000,lacevedo@gmail.com,450,51+,Married with Kids,826665,Business,No,not interested,1
411.141.8149x97407,dominguezethan@cunningham.com,642,51+,Single,626533,Doctor,Yes,follow up later,0
971.601.4730x04956,wardchristina@robinson.com,454,18-25,Married,938335,Doctor,No,please call back,1
001-844-682-0327x640,michael06@gmail.com,335,18-25,Single,369599,Business,Yes,urgent,1
808.482.0108,qschultz@bender-estes.net,587,18-25,Married with Kids,468756,Artist,Yes,,1
001-488-724-5576x267,rochaashley@yahoo.com,621,51+,Married with Kids,158885,Engineer,Yes,urgent,1
425-792-4491x508,alexandergentry@yahoo.com,758,51+,Married,800389,Student,Yes,not interested,1
389.925.2524x763,brittanywade@yahoo.com,584,26-35,Married,976125,Business,No,,1
720-976-7546,randolphvictoria@yahoo.com,504,26-35,Married,143246,Artist,No,please call back,0
(622)388-2852,stevenslori@gmail.com,405,51+,Single,112337,Business,No,,0
295.296.0007,thomas90@ryan-bean.com,623,18-25,Single,303775,Student,Yes,urgent,1
389.497.7458,bruceespinoza@hotmail.com,383,51+,Married with Kids,867999,Engineer,No,urgent,1
081-954-8135,nathaniel15@randall.com,569,51+,Married with Kids,323831,Business,No,urgent,1
+1-418-539-8424,mking@gomez.com,807,51+,Single,320489,Business,Yes,please call back,1
472.465.7206x719,gwilliams@barnes.net,528,51+,Married with Kids,968456,Doctor,No,please call back,1
2805254844,josephsmall@yahoo.com,753,18-25,Married,305896,Artist,No,follow up later,1
592.226.9611,sabrinamartinez@herman.org,763,18-25,Married,314506,Artist,Yes,,1
(077)031-7529,anna78@hotmail.com,694,51+,Single,333713,Doctor,No,not interested,0
001-009-346-2095x857,davidsanchez@hurst.biz,764,26-35,Married with Kids,699360,Student,No,,1
089-579-9994x007,emiller@lee.com,791,26-35,Married with Kids,107470,Student,No,,1
0209660304,kari31@fritz.com,490,36-50,Married,635336,Artist,Yes,not interested,0
932-629-4059,benitezsandy@anderson.com,550,51+,Married,405468,Student,Yes,,1
171.330.1389x097,loridyer@hotmail.com,636,26-35,Married,915834,Doctor,Yes,urgent,1
953-038-8902,dianavance@hughes.biz,838,36-50,Married,748546,Engineer,Yes,follow up later,1
(132)691-8793,richard22@brooks.com,440,26-35,Married,262501,Student,Yes,urgent,1
001-870-201-0362x8933,jasminehill@yahoo.com,846,51+,Married,781821,Engineer,No,not interested,1
+1-511-412-0752x43559,stephenbrewer@warner-holmes.com,398,26-35,Married with Kids,361859,Artist,Yes,follow up later,1
608-380-7613x3252,wendy50@hotmail.com,640,51+,Married,389908,Business,Yes,not interested,0
001-097-292-2352,ryan60@pena-jenkins.info,822,26-35,Single,568350,Engineer,No,not interested,1
+1-155-996-0398x33113,slucas@gmail.com,413,51+,Single,228159,Business,Yes,urgent,1
(521)719-7574x551,rochaashley@graham.com,579,36-50,Married with Kids,840704,Artist,Yes,please call back,1
001-126-792-4644x8895,brian88@gmail.com,514,36-50,Married with Kids,219363,Doctor,Yes,follow up later,0
500.684.3408,allenmike@rocha-carlson.com,424,51+,Married,473081,Artist,No,urgent,1
001-117-807-0741,carolyn00@collins-brown.com,815,51+,Married,168197,Business,Yes,follow up later,1
001-919-776-4572x173,catherinenewton@hotmail.com,422,26-35,Married with Kids,630713,Business,No,not interested,0
(197)977-2144x1211,bishopkelsey@thomas.com,319,36-50,Single,798189,Student,No,follow up later,1
+1-439-743-7076x5749,fnelson@schaefer.org,845,51+,Married with Kids,243568,Doctor,No,urgent,1
+1-038-871-3521x38575,johnsonelizabeth@hernandez-mcdaniel.com,503,51+,Single,109242,Doctor,Yes,not interested,0
311-407-1942,katiehoward@yahoo.com,674,36-50,Married,885680,Engineer,Yes,not interested,1
799.620.6350,cunninghamchad@yahoo.com,300,36-50,Married,787325,Doctor,No,urgent,1
001-610-190-5720,ibradford@mills.com,755,51+,Married with Kids,582287,Artist,No,please call back,1
(045)558-0409x8956,briana71@perez-sandoval.com,363,36-50,Married,560201,Artist,Yes,not interested,0
(703)026-4509x64497,julia85@yahoo.com,706,36-50,Married,982377,Artist,Yes,,1
+1-099-929-4750x07973,sgallegos@yahoo.com,346,18-25,Married with Kids,614693,Business,Yes,follow up later,1
(411)936-5896,anthonyjensen@becker.info,637,18-25,Married with Kids,267724,Artist,No,not interested,0
+1-283-988-6317x4971,kelsey91@christensen.net,801,36-50,Single,697089,Doctor,No,please call back,1
(501)030-0422,elizabeth67@jones.com,843,18-25,Married with Kids,856025,Doctor,Yes,not interested,1
+1-220-783-8019x678,brownkeith@yahoo.com,410,18-25,Married with Kids,486126,Artist,No,urgent,1
001.130.6495x4670,perezshannon@rodriguez-jimenez.com,584,26-35,Married with Kids,603738,Engineer,No,urgent,1
(923)527-1778x2021,paulscott@hotmail.com,445,18-25,Single,376042,Doctor,No,follow up later,0
1663987176,timothy30@gmail.com,594,51+,Married,503796,Business,No,please call back,0
(059)626-0536,martinjames@hotmail.com,847,18-25,Single,187631,Artist,No,please call back,1
5699255669,richardsonthomas@abbott.com,571,51+,Married with Kids,557653,Artist,Yes,,0
(942)787-4535x8965,brittanyburke@perez.biz,351,36-50,Single,799645,Engineer,No,follow up later,1
001-229-637-6565,cheyenneellison@gmail.com,648,36-50,Married,514871,Engineer,No,urgent,1
813-745-4221x658,slee@yahoo.com,512,26-35,Married,467602,Business,Yes,,1
309.490.3650,dhayden@pitts-carlson.org,507,51+,Single,825234,Doctor,Yes,urgent,1
001-632-753-4473x684,gabriel81@mahoney.info,690,51+,Single,492292,Engineer,Yes,follow up later,0
(812)221-3014x9504,simssteven@hotmail.com,667,18-25,Married with Kids,117435,Doctor,Yes,not interested,0
+1-238-889-1089x87985,zlawson@martinez-callahan.org,426,36-50,Married with Kids,307220,Engineer,No,,0
001-996-813-0366,connie01@hotmail.com,584,36-50,Married,423968,Doctor,Yes,follow up later,1
(412)117-5587,alexandriathompson@cook-byrd.com,843,26-35,Married,552514,Doctor,No,follow up later,1
(666)183-1106,zallen@lynn-bailey.biz,333,26-35,Married with Kids,799877,Engineer,No,urgent,1
(805)642-0235x699,jdiaz@bonilla.com,469,51+,Single,644553,Doctor,Yes,,0
+1-186-254-0966,whitepatricia@gmail.com,493,51+,Married with Kids,661729,Artist,Yes,,0
7738753069,stewartamy@gmail.com,536,18-25,Single,186579,Business,No,not interested,0
001-663-480-0184,michael91@perry.com,426,51+,Single,889102,Student,Yes,,1
001-830-817-7366x473,robert71@ellis.net,421,26-35,Married,887320,Business,Yes,,1
(845)119-1455,haynesjody@gmail.com,512,36-50,Single,562381,Engineer,No,follow up later,1
+1-389-301-6207,lawrence81@kelly.com,357,26-35,Married,410694,Student,No,,0
+1-330-762-1046x997,rodgerslaura@hotmail.com,449,51+,Single,465476,Engineer,Yes,,0
180.994.0179,farmerlisa@yahoo.com,719,18-25,Married,353292,Doctor,No,follow up later,0
